Name,Location,Mileage,Colour,Year,Price
BMW 316,Meath,309 km,BLACK,2007,€900
BMW 1 Series,Limerick,"145,000 km",SILVER,2007,"€1,000"
BMW 116,Dublin,"221,000 km",SILVER,2005,"€1,200"
BMW 3 Series,Dublin,0 km,SILVER,2005,"€1,499"
BMW 3 Series,Limerick,"379,348 km",GREY,2005,"€1,500"
BMW 3 Series,Dublin,"321,868 km",GREY,2005,"€1,595"
BMW 3 Series,Cork,"208,765 km",SILVER,2007,"€1,850"
BMW 320,Dublin,"320,000 km",SILVER,2006,"€1,900"
BMW 318,Cork,"224,500 km",BLACK,2007,"€1,950"
BMW 520,Dublin,"193,000 km",BLACK,2005,"€1,995"
BMW 3 Series,Limerick,"321,842 km",GREEN,2007,"€2,250"
BMW 316,Louth,"185,140 km",SILVER,2007,"€2,350"
